Địa phương,Năm,Tiểu học,Trung học cơ sở,Trung học phổ thông,Tổng số
An Giang,2002,7437.0,4209.0,1423.0,13069.0
An Giang,2003,7674.0,4848.0,1561.0,14083.0
An Giang,2004,7765.0,5140.0,1794.0,14699.0
An Giang,2005,7645.0,5434.0,2062.0,15141.0
An Giang,2006,7146.0,5893.0,2316.0,15355.0
An Giang,2007,7834.0,6330.0,2452.0,16616.0
An Giang,2008,7401.0,6455.0,2553.0,16409.0
An Giang,2009,7746.0,6711.0,2791.0,17248.0
An Giang,2010,7969.0,6796.0,2894.0,17659.0
An Giang,2011,8060.0,6737.0,2957.0,17754.0
An Giang,2012,8493.0,6833.0,2901.0,18227.0
An Giang,2013,8747.0,7048.0,3045.0,18840.0
An Giang,2014,8983.0,7038.0,3014.0,19035.0
An Giang,2015,8932.0,6951.0,2992.0,18875.0
An Giang,2016,8856.0,6868.0,2877.0,18601.0
An Giang,2017,8836.0,6847.0,2963.0,18646.0
An Giang,2018,9120.0,6696.0,2863.0,18679.0
An Giang,2019,8748.0,6671.0,2931.0,18350.0
An Giang,2020,8675.0,6621.0,2954.0,18250.0
An Giang,2021,8594.0,6648.0,2939.0,18181.0
An Giang,2023,8292.0,6432.0,2936.0,17660.0
Bà Rịa - Vũng Tàu,2002,3628.0,2546.0,975.0,7149.0
Bà Rịa - Vũng Tàu,2003,3652.0,2803.0,1232.0,7687.0
Bà Rịa - Vũng Tàu,2004,3551.0,3040.0,1338.0,7929.0
Bà Rịa - Vũng Tàu,2005,3649.0,3236.0,1552.0,8437.0
Bà Rịa - Vũng Tàu,2006,3665.0,3304.0,1600.0,8569.0
Bà Rịa - Vũng Tàu,2007,3639.0,3410.0,1718.0,8767.0
Bà Rịa - Vũng Tàu,2008,3862.0,3510.0,1872.0,9244.0
Bà Rịa - Vũng Tàu,2009,3898.0,3538.0,2202.0,9638.0
Bà Rịa - Vũng Tàu,2010,4098.0,3538.0,2020.0,9656.0
Bà Rịa - Vũng Tàu,2011,4067.0,3508.0,2068.0,9643.0
Bà Rịa - Vũng Tàu,2012,4069.0,3548.0,2043.0,9660.0
Bà Rịa - Vũng Tàu,2013,4238.0,3614.0,2136.0,9988.0
Bà Rịa - Vũng Tàu,2014,4395.0,3612.0,2127.0,10134.0
Bà Rịa - Vũng Tàu,2015,4396.0,3743.0,2094.0,10233.0
Bà Rịa - Vũng Tàu,2016,4398.0,3702.0,2093.0,10193.0
Bà Rịa - Vũng Tàu,2017,4449.0,3697.0,2082.0,10228.0
Bà Rịa - Vũng Tàu,2018,4512.0,3069.0,866.0,8447.0
Bà Rịa - Vũng Tàu,2019,4458.0,3697.0,2003.0,10158.0
Bà Rịa - Vũng Tàu,2020,4439.0,3618.0,2055.0,10112.0
Bà Rịa - Vũng Tàu,2021,4467.0,3737.0,2110.0,10314.0
Bà Rịa - Vũng Tàu,2023,4314.0,3664.0,2025.0,10003.0
Bình  Dương,2002,3371.0,2312.0,815.0,6498.0
Bình  Dương,2003,3333.0,2417.0,951.0,6701.0
Bình  Dương,2004,3383.0,2422.0,1012.0,6817.0
Bình  Dương,2005,3296.0,2467.0,1145.0,6908.0
Bình  Dương,2006,3294.0,2533.0,1254.0,7081.0
Bình  Dương,2007,3247.0,2546.0,1340.0,7133.0
Bình  Dương,2008,3223.0,2711.0,1402.0,7336.0
Bình  Dương,2009,3553.0,2808.0,1427.0,7788.0
Bình  Dương,2010,3638.0,2825.0,1508.0,7971.0
Bình  Dương,2011,3801.0,2896.0,1534.0,8231.0
Bình  Dương,2012,4182.0,3255.0,1651.0,9088.0
Bình  Dương,2013,4868.0,3413.0,1692.0,9973.0
Bình  Dương,2014,5255.0,3756.0,1777.0,10788.0
Bình  Dương,2015,5586.0,3902.0,1779.0,11267.0
Bình  Dương,2016,5919.0,4210.0,1896.0,12025.0
Bình  Dương,2017,6209.0,4590.0,1964.0,12763.0
Bình  Dương,2018,6361.0,4461.0,1854.0,12676.0
Bình  Dương,2019,6308.0,4447.0,1858.0,12613.0
Bình  Dương,2020,6558.0,4554.0,1880.0,12992.0
Bình  Dương,2021,6614.0,4582.0,1884.0,13080.0
Bình  Dương,2023,6735.0,4541.0,2029.0,13305.0
Bình Phước,2002,3942.0,2125.0,526.0,6593.0
Bình Phước,2003,4157.0,2355.0,649.0,7161.0
Bình Phước,2004,4242.0,2316.0,679.0,7237.0
Bình Phước,2005,4301.0,2772.0,1027.0,8100.0
Bình Phước,2006,4232.0,2778.0,1108.0,8118.0
Bình Phước,2007,4396.0,3137.0,1522.0,9055.0
Bình Phước,2008,4546.0,3316.0,1575.0,9437.0
Bình Phước,2009,4637.0,2809.0,1610.0,9056.0
Bình Phước,2010,4715.0,3363.0,1759.0,9837.0
Bình Phước,2011,4559.0,3288.0,1834.0,9681.0
Bình Phước,2012,4631.0,2838.0,1907.0,9376.0
Bình Phước,2013,4862.0,3530.0,1931.0,10323.0
Bình Phước,2014,4904.0,3571.0,2009.0,10484.0
Bình Phước,2015,5005.0,3600.0,2012.0,10617.0
Bình Phước,2016,5027.0,3646.0,2063.0,10736.0
Bình Phước,2017,4935.0,3536.0,2040.0,10511.0
Bình Phước,2018,5047.0,3708.0,2096.0,10851.0
Bình Phước,2019,4964.0,3715.0,2099.0,10778.0
Bình Phước,2020,4866.0,3715.0,2056.0,10637.0
Bình Phước,2021,4787.0,3557.0,1936.0,10280.0
Bình Phước,2023,4705.0,3481.0,1955.0,10141.0
Bình Thuận,2002,5357.0,2886.0,1036.0,9279.0
Bình Thuận,2003,5689.0,3379.0,1143.0,10211.0
Bình Thuận,2004,5558.0,3796.0,1258.0,10612.0
Bình Thuận,2005,5471.0,4165.0,1398.0,11034.0
Bình Thuận,2006,5254.0,4362.0,1526.0,11142.0
Bình Thuận,2007,5259.0,4651.0,1657.0,11567.0
Bình Thuận,2008,5226.0,4715.0,1744.0,11685.0
Bình Thuận,2009,5295.0,4799.0,1818.0,11912.0
Bình Thuận,2010,5395.0,4803.0,2032.0,12230.0
Bình Thuận,2011,5394.0,4761.0,2242.0,12397.0
Bình Thuận,2012,5472.0,4772.0,2605.0,12849.0
Bình Thuận,2013,5716.0,4813.0,2526.0,13055.0
Bình Thuận,2014,5760.0,4783.0,2499.0,13042.0
Bình Thuận,2015,5886.0,4766.0,2454.0,13106.0
Bình Thuận,2016,5895.0,4696.0,2388.0,12979.0
Bình Thuận,2017,5860.0,4569.0,2352.0,12781.0
Bình Thuận,2018,5802.0,4041.0,1293.0,11136.0
Bình Thuận,2019,5971.0,4387.0,2258.0,12616.0
Bình Thuận,2020,5905.0,4340.0,2213.0,12458.0
Bình Thuận,2021,5844.0,4270.0,2206.0,12320.0
Bình Thuận,2023,5713.0,4104.0,2132.0,11949.0
Bình Định,2002,6067.0,4265.0,1475.0,11807.0
Bình Định,2003,6139.0,4673.0,1514.0,12326.0
Bình Định,2004,6084.0,4736.0,1623.0,12443.0
Bình Định,2005,5973.0,4945.0,1734.0,12652.0
Bình Định,2006,5717.0,4972.0,1845.0,12534.0
Bình Định,2007,5852.0,5256.0,2109.0,13217.0
Bình Định,2008,5886.0,5354.0,2330.0,13570.0
Bình Định,2009,5889.0,5341.0,2409.0,13639.0
Bình Định,2010,5980.0,5287.0,2542.0,13809.0
Bình Định,2011,6049.0,5262.0,2498.0,13809.0
Bình Định,2012,6239.0,5267.0,2682.0,14188.0
Bình Định,2013,6261.0,5284.0,2696.0,14241.0
Bình Định,2014,6278.0,5174.0,2654.0,14106.0
Bình Định,2015,6338.0,5163.0,2691.0,14192.0
Bình Định,2016,6286.0,5087.0,2702.0,14075.0
Bình Định,2017,6176.0,5018.0,2675.0,13869.0
Bình Định,2018,6301.0,4988.0,2574.0,13863.0
Bình Định,2019,5694.0,4700.0,2452.0,12846.0
Bình Định,2020,6062.0,4630.0,2395.0,13087.0
Bình Định,2021,5963.0,4560.0,2477.0,13000.0
Bình Định,2023,5968.0,4524.0,2383.0,12875.0
Bạc Liêu,2002,4001.0,1948.0,494.0,6443.0
Bạc Liêu,2003,4142.0,2200.0,594.0,6936.0
Bạc Liêu,2004,4004.0,2214.0,509.0,6727.0
Bạc Liêu,2005,3933.0,2441.0,770.0,7144.0
Bạc Liêu,2006,4536.0,2688.0,966.0,8190.0
Bạc Liêu,2007,3720.0,2366.0,874.0,6960.0
Bạc Liêu,2008,3468.0,2262.0,917.0,6647.0
Bạc Liêu,2009,3484.0,2175.0,868.0,6527.0
Bạc Liêu,2010,3550.0,2210.0,856.0,6616.0
Bạc Liêu,2011,3495.0,2205.0,835.0,6535.0
Bạc Liêu,2012,3615.0,2249.0,862.0,6726.0
Bạc Liêu,2013,3484.0,2272.0,829.0,6585.0
Bạc Liêu,2014,3334.0,2251.0,818.0,6403.0
Bạc Liêu,2015,3357.0,2309.0,826.0,6492.0
Bạc Liêu,2016,3258.0,2323.0,815.0,6396.0
Bạc Liêu,2017,3281.0,2355.0,814.0,6450.0
Bạc Liêu,2018,3308.0,2324.0,783.0,6415.0
Bạc Liêu,2019,3149.0,2270.0,780.0,6199.0
Bạc Liêu,2020,3091.0,2257.0,777.0,6125.0
Bạc Liêu,2021,3020.0,2229.0,769.0,6018.0
Bạc Liêu,2023,2911.0,2195.0,815.0,5921.0
Bắc Giang,2002,7981.0,5936.0,1731.0,15648.0
Bắc Giang,2003,8149.0,6483.0,2006.0,16638.0
Bắc Giang,2004,7731.0,6854.0,2375.0,16960.0
Bắc Giang,2005,7379.0,6843.0,2467.0,16689.0
Bắc Giang,2006,6987.0,6901.0,2552.0,16440.0
Bắc Giang,2007,7342.0,6945.0,2635.0,16922.0
Bắc Giang,2008,6980.0,6495.0,2772.0,16247.0
Bắc Giang,2009,7052.0,6433.0,2673.0,16158.0
Bắc Giang,2010,7013.0,6695.0,2798.0,16506.0
Bắc Giang,2011,6981.0,6577.0,2723.0,16281.0
Bắc Giang,2012,7312.0,6735.0,2846.0,16893.0
Bắc Giang,2013,7385.0,6710.0,2797.0,16892.0
Bắc Giang,2014,7352.0,6540.0,2711.0,16603.0
Bắc Giang,2015,7368.0,6395.0,2668.0,16431.0
Bắc Giang,2016,7370.0,6321.0,2783.0,16474.0
Bắc Giang,2017,7439.0,6381.0,2746.0,16566.0
Bắc Giang,2018,7477.0,6245.0,2668.0,16390.0
Bắc Giang,2019,7658.0,6062.0,2732.0,16452.0
Bắc Giang,2020,7946.0,6012.0,2726.0,16684.0
Bắc Giang,2021,7863.0,6022.0,2766.0,16651.0
Bắc Giang,2023,8061.0,6016.0,2800.0,16877.0
Bắc Kạn,2002,2093.0,1563.0,341.0,3997.0
Bắc Kạn,2003,1879.0,1495.0,368.0,3742.0
Bắc Kạn,2004,1803.0,1450.0,413.0,3666.0
Bắc Kạn,2005,1749.0,1476.0,480.0,3705.0
Bắc Kạn,2006,1750.0,1476.0,493.0,3719.0
Bắc Kạn,2007,1752.0,1497.0,474.0,3723.0
Bắc Kạn,2008,1786.0,1424.0,610.0,3820.0
Bắc Kạn,2009,2002.0,1467.0,636.0,4105.0
Bắc Kạn,2010,2094.0,1461.0,594.0,4149.0
Bắc Kạn,2011,1984.0,1306.0,579.0,3869.0
Bắc Kạn,2012,2141.0,1313.0,573.0,4027.0
Bắc Kạn,2013,2183.0,1321.0,557.0,4061.0
Bắc Kạn,2014,2194.0,1349.0,537.0,4080.0
Bắc Kạn,2015,2233.0,1339.0,500.0,4072.0
Bắc Kạn,2016,2229.0,1361.0,525.0,4115.0
Bắc Kạn,2017,2218.0,1343.0,517.0,4078.0
Bắc Kạn,2018,2010.0,1183.0,478.0,3671.0
Bắc Kạn,2019,2029.0,1218.0,474.0,3721.0
Bắc Kạn,2020,2000.0,1182.0,472.0,3654.0
Bắc Kạn,2021,1922.0,1143.0,454.0,3519.0
Bắc Kạn,2023,1992.0,1234.0,463.0,3689.0
Bắc Ninh,2002,4099.0,3602.0,1638.0,9339.0
Bắc Ninh,2003,4049.0,3748.0,1836.0,9633.0
Bắc Ninh,2004,3851.0,3830.0,2000.0,9681.0
Bắc Ninh,2005,3678.0,3866.0,2151.0,9695.0
Bắc Ninh,2006,3660.0,3887.0,2370.0,9917.0
Bắc Ninh,2007,3560.0,4058.0,2510.0,10128.0
Bắc Ninh,2008,3587.0,3756.0,2495.0,9838.0
Bắc Ninh,2009,3741.0,3873.0,2421.0,10035.0
Bắc Ninh,2010,3783.0,3847.0,2429.0,10059.0
Bắc Ninh,2011,3609.0,3802.0,2231.0,9642.0
Bắc Ninh,2012,4064.0,3886.0,2252.0,10202.0
Bắc Ninh,2013,4077.0,3818.0,2210.0,10105.0
Bắc Ninh,2014,4109.0,3885.0,2230.0,10224.0
Bắc Ninh,2015,4480.0,4126.0,2284.0,10890.0
Bắc Ninh,2016,4693.0,4165.0,2285.0,11143.0
Bắc Ninh,2017,4784.0,4125.0,2312.0,11221.0
Bắc Ninh,2018,4172.0,3061.0,1096.0,8329.0
Bắc Ninh,2019,4631.0,3981.0,2012.0,10624.0
Bắc Ninh,2020,4613.0,3962.0,2124.0,10699.0
Bắc Ninh,2021,5098.0,4064.0,2114.0,11276.0
Bắc Ninh,2023,5031.0,3975.0,2220.0,11226.0
Bắc Trung Bộ và Duyên hải miền Trung,2002,89924.0,69187.0,24200.0,183311.0
Bắc Trung Bộ và Duyên hải miền Trung,2003,90669.0,75364.0,25951.0,191984.0
Bắc Trung Bộ và Duyên hải miền Trung,2004,88403.0,79333.0,28672.0,196408.0
Bắc Trung Bộ và Duyên hải miền Trung,2005,85219.0,80669.0,30324.0,196212.0
Bắc Trung Bộ và Duyên hải miền Trung,2006,84178.0,83995.0,32062.0,200235.0
Bắc Trung Bộ và Duyên hải miền Trung,2007,83317.0,83707.0,34404.0,201428.0
Bắc Trung Bộ và Duyên hải miền Trung,2008,83116.0,82581.0,35652.0,201349.0
Bắc Trung Bộ và Duyên hải miền Trung,2009,82414.0,81785.0,36510.0,200709.0
Bắc Trung Bộ và Duyên hải miền Trung,2010,84316.0,81251.0,37586.0,203153.0
Bắc Trung Bộ và Duyên hải miền Trung,2011,84452.0,78970.0,37288.0,200710.0
Bắc Trung Bộ và Duyên hải miền Trung,2012,86531.0,79070.0,37060.0,202661.0
Bắc Trung Bộ và Duyên hải miền Trung,2013,86773.0,78396.0,37557.0,202726.0
Bắc Trung Bộ và Duyên hải miền Trung,2014,86741.0,76144.0,37164.0,200049.0
Bắc Trung Bộ và Duyên hải miền Trung,2015,87877.0,75875.0,37087.0,200839.0
Bắc Trung Bộ và Duyên hải miền Trung,2016,87059.0,73893.0,36796.0,197748.0
Bắc Trung Bộ và Duyên hải miền Trung,2017,86315.0,71780.0,36254.0,194349.0
Bắc Trung Bộ và Duyên hải miền Trung,2018,84007.0,67139.0,32590.0,183736.0
Bắc Trung Bộ và Duyên hải miền Trung,2019,81815.0,65919.0,34281.0,182015.0
Bắc Trung Bộ và Duyên hải miền Trung,2020,82250.0,64658.0,34846.0,181754.0
Bắc Trung Bộ và Duyên hải miền Trung,2021,82568.0,63870.0,35069.0,181507.0
Bắc Trung Bộ và Duyên hải miền Trung,2023,84209.0,63261.0,34902.0,182372.0
Bến Tre,2002,5145.0,4105.0,1179.0,10429.0
